id,name,slug,category,created_at,probability_by_region
365fe1c9-6aca-4ddb-afe9-1425ac312e54,Avalanche,avalanche,Inanimate,2026-06-10 13:23:21.73539,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Dunland"", ""probability"": 2}, {""region"": ""Fangorn"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}]"
a7960e0e-d0a3-48e2-b1c9-76e4c5949413,Asdriags and Sagath soldiers,asdriags_and_sagath_soldiers,Men,2026-06-10 13:23:21.734365,"[{""region"": ""Dor Guldur"", ""probability"": 3}]"
358aab0c-619f-4de3-b456-b27b5f1e6af5,Aurych,aurych,Animal,2026-06-10 13:23:21.735041,"[{""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}]"
5438fdb7-6d1d-4486-98a2-bd700e995e94,Barrow grave,barrow_grave,Sites,2026-06-10 13:23:21.736941,"[{""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fornost"", ""probability"": 2}, {""region"": ""Forochel"", ""probability"": 2}, {""region"": ""Lone-lands"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 1}, {""region"": ""Talath Muil"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 1}]"
e6f46035-7cfd-4912-8e6d-662b6adf3cc5,Reptiles Leeches Flukes,reptiles_leeches_flukes,Animal,2026-06-10 13:23:21.803963,"[{""region"": ""Dagorlad"", ""probability"": 2}]"
be4b6fa0-263f-4b31-b7ba-b5bf13d48671,Avalanche Cave in,avalanche_cave_in,Inanimate,2026-06-10 13:23:21.735831,"[{""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""Mordor"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 2}]"
50d395e0-faf1-457d-b335-75ab1e5ecd42,Beaded Lizards,beaded_lizards,Animal,2026-06-10 13:23:21.738899,"[{""region"": ""Nurn"", ""probability"": 1}]"
547cc63c-be9c-4ca1-87c5-6e3e3329e587,Ants,ants,Animal,2026-06-10 13:23:21.733356,"[{""region"": ""Mordor"", ""probability"": 1}, {""region"": ""Nurn"", ""probability"": 2}]"
a1431e0d-f2d2-4240-9ee5-8b31733667a5,Bats Flying Frogs,bats_flying_frogs,Animal,2026-06-10 13:23:21.738063,"[{""region"": ""Enedhwaith"", ""probability"": 1}, {""region"": ""Minhiriath"", ""probability"": 2}, {""region"": ""Mintyrnath"", ""probability"": 1}, {""region"": ""South Downs"", ""probability"": 1}]"
a46e6007-0197-42e0-9a85-d1663f82a41d,Beacon,beacon,Inanimate,2026-06-10 13:23:21.738366,"[{""region"": ""Mordor"", ""probability"": 0}]"
f5e6d5ee-76ba-4ba3-b13d-923a1d0f13b2,Ash Drake,ash_drake,Drake,2026-06-10 13:23:21.734705,"[{""region"": ""Nurn"", ""probability"": 9}]"
f8deaa10-81d9-4468-a084-53b270828e56,Arthedain Site,arthedain_site,Sites,2026-06-10 13:23:21.7339,"[{""region"": ""Evendim Hills"", ""probability"": 2}, {""region"": ""Fornost"", ""probability"": 7}, {""region"": ""Lone-lands"", ""probability"": 5}, {""region"": ""Numeriador"", ""probability"": 2}, {""region"": ""Rammas Formen"", ""probability"": 3}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Weather Hills"", ""probability"": 5}]"
f43d16a1-5112-46ca-87cc-47d4d483d39b,Barrow wight,barrow_wight,Spectre,2026-06-10 13:23:21.737404,"[{""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""Nurn"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 2}]"
